epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2523,4.0931,6.77073,0.75434,0.00304,0.01432,0.00013,3e-05,5.4832,4.88311,1.47395,0.0032971,0.0032971,0.0703261
2,166.722,4.06309,1.9377,0.71359,0.1954,0.06086,0.01797,0.00304,4.69474,4.04719,0.8637,0.00661246,0.00661246,0.0403081
3,249.011,3.85385,1.71979,0.68601,0.39357,0.18138,0.12461,0.03123,3.89521,2.35759,0.71206,0.00985599,0.00985599,0.0102183
4,333,3.79374,1.72733,0.68736,0.14164,0.15871,0.07081,0.02197,3.86161,3.94726,0.71878,0.00975773,0.00975773,0.00975773
5,418.535,3.69163,1.63949,0.68099,0.41316,0.21957,0.16437,0.03789,3.62241,1.74116,0.68814,0.00957205,0.00957205,0.00957205
6,504.559,3.58271,1.46999,0.67767,0.43324,0.30102,0.23701,0.06588,3.51561,1.66162,0.67172,0.00933683,0.00933683,0.00933683
7,586.385,3.55757,1.44534,0.66429,0.48691,0.29833,0.25404,0.0649,3.48637,1.79234,0.67141,0.00905463,0.00905463,0.00905463
8,666.893,3.50168,1.39119,0.66699,0.44804,0.1957,0.17956,0.04701,3.58815,2.40233,0.67933,0.00872857,0.00872857,0.00872857
9,749.092,3.54632,1.43678,0.66295,0.4609,0.29833,0.22856,0.0628,3.46618,1.52464,0.66455,0.0083622,0.0083622,0.0083622
10,831.521,3.43307,1.35065,0.65994,0.54306,0.29074,0.26866,0.06949,3.50962,1.4473,0.66413,0.00795954,0.00795954,0.00795954
11,911.138,3.43848,1.36399,0.66619,0.50843,0.28881,0.2527,0.07117,3.44878,1.35415,0.66802,0.007525,0.007525,0.007525
12,990.196,3.41898,1.34783,0.66353,0.63317,0.33055,0.31112,0.07936,3.38165,1.38756,0.66545,0.00706335,0.00706335,0.00706335
13,1069.57,3.34824,1.29041,0.65708,0.57888,0.32578,0.31524,0.08185,3.37512,1.3399,0.66211,0.00657963,0.00657963,0.00657963
14,1149.31,3.37093,1.26881,0.65551,0.61242,0.3389,0.3064,0.09117,3.37307,1.4368,0.66526,0.00607916,0.00607916,0.00607916
15,1229.56,3.32961,1.24881,0.66265,0.58801,0.34726,0.32472,0.09181,3.35399,1.27858,0.66031,0.00556742,0.00556742,0.00556742
16,1310.2,3.32928,1.26883,0.65435,0.63403,0.32339,0.32025,0.0904,3.32859,1.23258,0.66047,0.00505,0.00505,0.00505
17,1393.94,3.27894,1.22098,0.65845,0.56504,0.32816,0.30496,0.09353,3.27956,1.49964,0.65624,0.00453258,0.00453258,0.00453258
18,1484.17,3.28308,1.22293,0.65016,0.61989,0.36975,0.34073,0.0934,3.24268,1.21117,0.65568,0.00402084,0.00402084,0.00402084
19,1573.48,3.25533,1.18206,0.64594,0.63555,0.37112,0.37,0.10201,3.29619,1.23253,0.65896,0.00352037,0.00352037,0.00352037
20,1662.36,3.23718,1.19818,0.6531,0.62243,0.39976,0.38413,0.10962,3.21638,1.08744,0.65682,0.00303665,0.00303665,0.00303665
21,1744.75,3.11977,1.12989,0.66921,0.62841,0.41885,0.39286,0.10777,3.22848,1.1269,0.65412,0.002575,0.002575,0.002575
22,1826.17,3.12627,1.11641,0.6619,0.62476,0.4105,0.38818,0.11713,3.19202,1.10929,0.65385,0.00214046,0.00214046,0.00214046
23,1906.43,3.06306,1.10333,0.66451,0.6472,0.40936,0.39049,0.11794,3.2088,1.10418,0.65343,0.0017378,0.0017378,0.0017378
24,1991.96,3.08389,1.09199,0.66068,0.60222,0.41289,0.38035,0.11926,3.19392,1.08758,0.65203,0.00137143,0.00137143,0.00137143
25,2080.32,3.04107,1.06739,0.66144,0.65525,0.42243,0.40011,0.11811,3.18165,1.06247,0.64933,0.00104537,0.00104537,0.00104537
26,2168.46,3.03225,1.06491,0.66326,0.65927,0.42721,0.41397,0.12838,3.13969,1.0517,0.64895,0.000763174,0.000763174,0.000763174
27,2255.32,3.00945,1.04452,0.66515,0.65438,0.44153,0.41689,0.12875,3.16032,1.04287,0.64971,0.00052795,0.00052795,0.00052795
28,2338.78,3.00235,1.04598,0.66432,0.61966,0.43355,0.4041,0.12947,3.13657,1.03911,0.64929,0.00034227,0.00034227,0.00034227
29,2421.46,2.98647,1.03631,0.66097,0.64187,0.44153,0.41641,0.13233,3.12487,1.03563,0.6478,0.000208169,0.000208169,0.000208169
30,2505.59,2.98692,1.01981,0.66252,0.65021,0.43317,0.41466,0.13155,3.11408,1.04089,0.64725,0.000127117,0.000127117,0.000127117
