epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.251,4.12311,2.9018,0.73908,0.28122,0.10143,0.05318,0.01056,4.57585,5.8981,0.82818,0.00331512,0.00331512,0.0701639
2,990.44,4.10226,1.94892,0.71513,0.13149,0.04535,0.01365,0.00457,3.43275,2.66657,0.62816,0.00664196,0.00664196,0.0401574
3,1411.34,3.9863,1.85306,0.69467,0.3348,0.18138,0.13029,0.03237,4.0255,3.23288,0.71853,0.00994282,0.00994282,0.010125
4,1872.72,3.82911,1.73888,0.68452,0.26546,0.14916,0.07513,0.01494,4.15212,2.17249,0.70296,0.00991232,0.00991232,0.00991232
5,2387.04,3.73731,1.58256,0.66982,0.39134,0.2601,0.17619,0.0454,3.76489,1.82035,0.68238,0.00984449,0.00984449,0.00984449
6,2897.79,3.62117,1.53129,0.67312,0.39844,0.26492,0.1848,0.04154,3.78943,1.49428,0.67362,0.00975773,0.00975773,0.00975773
7,3434.22,3.64545,1.51029,0.67594,0.37098,0.20048,0.13704,0.03428,3.60237,2.69361,0.67264,0.00965239,0.00965239,0.00965239
8,3987.98,3.61866,1.45292,0.66512,0.56954,0.29356,0.27919,0.07359,3.55156,1.3481,0.67335,0.00952889,0.00952889,0.00952889
9,4500.61,3.49968,1.37778,0.66626,0.56826,0.3043,0.25468,0.06884,3.56617,1.49746,0.67328,0.00938772,0.00938772,0.00938772
10,4968.02,3.49918,1.40923,0.67155,0.63052,0.29594,0.28907,0.07433,3.53279,1.37583,0.66591,0.00922942,0.00922942,0.00922942
11,5488.7,3.43521,1.36334,0.66626,0.62384,0.33413,0.3026,0.08911,3.38637,1.24473,0.66414,0.00905463,0.00905463,0.00905463
12,5950.58,3.47567,1.35792,0.66363,0.59343,0.37448,0.33167,0.08579,3.46571,1.43965,0.66603,0.00886404,0.00886404,0.00886404
13,6421.96,3.3837,1.32355,0.65837,0.42216,0.29356,0.23249,0.05681,3.56916,1.57763,0.66888,0.00865839,0.00865839,0.00865839
14,6872.74,3.42423,1.34423,0.65889,0.59626,0.36038,0.32338,0.08437,3.43745,1.25974,0.65996,0.00843851,0.00843851,0.00843851
15,7350.27,3.43531,1.32074,0.65803,0.54475,0.3568,0.30239,0.07123,3.51885,1.30844,0.65436,0.00820525,0.00820525,0.00820525
16,7827.03,3.34613,1.26498,0.65889,0.60366,0.35084,0.33623,0.09935,3.33446,1.29636,0.65405,0.00795954,0.00795954,0.00795954
17,8297.44,3.33855,1.29382,0.66208,0.48767,0.31742,0.27555,0.07084,3.48499,1.37622,0.65999,0.00770234,0.00770234,0.00770234
18,8759.51,3.38844,1.27864,0.65622,0.60634,0.37351,0.3586,0.09853,3.3732,1.24932,0.65448,0.00743468,0.00743468,0.00743468
19,9428.02,3.2961,1.23874,0.65552,0.60435,0.37709,0.33485,0.09275,3.33961,1.25919,0.65617,0.00715761,0.00715761,0.00715761
20,9947.34,3.27301,1.22689,0.65481,0.60593,0.38783,0.36174,0.09652,3.40534,1.23497,0.65978,0.00687222,0.00687222,0.00687222
21,11645.7,3.30791,1.21139,0.6528,0.59746,0.37112,0.34995,0.09706,3.36108,1.18924,0.65607,0.00657963,0.00657963,0.00657963
22,12186,3.26603,1.19779,0.65608,0.61569,0.40692,0.36925,0.10875,3.28041,1.17478,0.65156,0.00628101,0.00628101,0.00628101
